1, SanFrancisco 
2, Chicago 
3, Atlanta 
4, Montreal 
5, Washington 
6, NewYork 
7, Madrid 
8, London 
9, Paris 
10, Essen 
11, Milan 
12, StPetersburg 
13, LosAngeles 
14, MexicoCity 
15, Lima 
16, Santiago 
17, Bogota 
18, Miami 
19, BuenosAires 
20, SaoPaulo 
21, Lagos 
22, Kinsasha 
23, Khartoum 
24, Johannesburg 
25, Algiers 
26, Cairo 
27, Istanbul 
28, Moscow 
29, Baghdad 
30, Riyadh 
31, Tehran 
32, Karachi 
33, Mumbai 
34, Delhi 
35, Chennai 
36, Kolkata 
37, Bangkok 
38, Jakarta 
39, Beijing 
40, HongKong 
41, HoChiMinhCity 
42, Shanghai 
43, Taipei 
44, Manila 
45, Seoul 
46, Osaka 
47, Tokyo 
48, Sydney 
